facility_id,overture_id,facility_name,name_review_flag,county,city,county_source,centroid_lon,centroid_lat,area_ft2,label,subclass,confidence_score,confidence_tier,is_warehouse,warehouse_prob,source,scag_land_use_class,APN,costar_match_confidence,intensity_tier,is_high_cube,is_likely_crossdock,ops_start_year,year_source,year_confidence,lodes_onset_year,year_built,temporal_use,suspect_stale_year
SCAG-WH-00575,010172f5-a152-4744-8af8-5157e78b2d92,,False,LA,Gardena,original,-118.310937,33.875561,181271,confirmed,ambiguous,65.0,Medium,0,0.393,overture,warehouse,4094006015,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00576,798ec621-a717-43bf-aa97-8d0a82198dab,,False,LA,Santa Fe Springs,original,-118.044851,33.889817,181228,confirmed,FI-IND,35.0,High,1,0.824,overture,industrial,7005014072,medium,Medium,0.0,0.0,1987,costar,high,2020,1987,usable,False
SCAG-WH-00577,,,False,LA,Industry,original,-117.952696,34.013154,181192,confirmed,FI-IND,55.0,Medium,0,0.384,osm,warehouse,8242015058,none,Medium,0.0,0.0,1972,costar,high,2020,1972,usable,False
SCAG-WH-00578,3212ea42-0a88-4e77-aa32-90d8b4c45b1a,"Atlas Carpet Mills, Inc.",False,LA,Commerce,original,-118.137363,34.002559,181150,confirmed,FI-IND,65.0,Medium,0,0.375,overture,warehouse,6336012036,high,Low,0.0,0.0,1955,costar,high,2003,1955,usable,False
SCAG-WH-00579,,,False,LA,Unincorporated,original,-118.643765,34.451428,181119,confirmed,FI-IND,55.0,Medium,0,0.384,osm,warehouse,3271032026,none,,,,2005,lodes,medium,2005,,usable,False
SCAG-WH-00580,,,False,LA,Norwalk,original,-118.056541,33.891896,181112,confirmed,FI-IND,65.0,Medium,0,0.384,osm,warehouse,8082033017,none,Medium,0.0,0.0,1976,costar,high,2020,1976,usable,False
SCAG-WH-00581,81b95775-d692-4cd9-9396-1100e5c8b733,,False,LA,Santa Fe Springs,original,-118.041191,33.912534,180700,confirmed,FI-IND,65.0,Medium,0,0.383,overture,warehouse,8044004021,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00582,065e7d5c-9e0f-42b7-9458-d736e08fffe4,,False,LA,Carson,original,-118.281181,33.837575,180525,confirmed,FI-IND,65.0,Medium,0,0.387,overture,warehouse,7336002067,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00583,e4b14169-08ec-436e-a730-0b4e8e2d5010,UPS Van Nuys Hub,False,LA,Los Angeles,original,-118.481946,34.212884,180485,confirmed,U-DF,85.0,Medium,0,0.388,overture,warehouse,2206008020,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00584,,,False,LA,Cerritos,original,-118.034068,33.883578,179878,confirmed,FI-IND,55.0,Medium,0,0.383,osm,warehouse,7003001042,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
